image_path,label
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0031616.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0027650.jpg,1
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0030379.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0030255.jpg,1
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0031304.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0033521.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0029950.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0024555.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0025701.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0025266.jpg,1
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0029821.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0032595.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0024918.jpg,1
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0025888.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0027582.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0032244.jpg,1
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0030250.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0029837.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0024518.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0033214.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0029867.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0025971.jpg,1
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0026266.jpg,1
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0024410.jpg,1
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0029811.jpg,1
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0032476.jpg,1
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0032718.jpg,1
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0028230.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0029476.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/synthetic/generated_malign/synth_malign_00187.jpg,1
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0027255.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0030162.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0032857.jpg,1
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0033241.jpg,1
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0030003.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0027183.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0025149.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0026705.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0032845.jpg,1
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0026184.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0034301.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0026466.jpg,1
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_2/ISIC_0030873.jpg,0
/Users/suleymanmini/Desktop/cilt kanseri/cilt-kanseri-teshisi-bitirme/data/raw/HAM10000_images_part_1/ISIC_0027680.jpg,0
